epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,677.409,0.98101,0.55008,0.93615,0.82491,0.75526,0.8163,0.53933,1.02139,0.60153,0.96909,0.000848969,0.000848969,0.000848969
43,694.648,0.97908,0.54499,0.93477,0.82192,0.65672,0.75729,0.51009,1.01383,0.61951,0.9823,0.000834822,0.000834822,0.000834822
44,711.995,0.96732,0.53228,0.92696,0.8509,0.73939,0.80573,0.54042,0.99396,0.63818,0.96897,0.000820675,0.000820675,0.000820675
45,729.18,0.96476,0.52602,0.92534,0.82526,0.70784,0.77702,0.52003,1.00636,0.66838,0.97149,0.000806528,0.000806528,0.000806528
46,746.089,0.9613,0.51854,0.91377,0.88793,0.71162,0.7984,0.54234,0.99417,0.63443,0.97063,0.00079238,0.00079238,0.00079238
47,762.319,0.93508,0.51882,0.91779,0.83792,0.73341,0.80357,0.54477,1.01482,0.63485,0.97622,0.000778233,0.000778233,0.000778233
48,778.863,0.93895,0.49904,0.92393,0.76026,0.81118,0.80785,0.5437,1.01272,0.56888,0.97774,0.000764086,0.000764086,0.000764086
49,795.636,0.93736,0.51434,0.91752,0.86123,0.764,0.82248,0.55367,0.99083,0.6494,0.97144,0.000749939,0.000749939,0.000749939
50,812.179,0.96104,0.51601,0.92881,0.83945,0.80574,0.82756,0.55727,1.01508,0.57485,0.97521,0.000735792,0.000735792,0.000735792
51,827.105,0.93325,0.50016,0.91371,0.8025,0.78909,0.81807,0.5412,1.02614,0.59444,0.97095,0.000721645,0.000721645,0.000721645
52,841.967,0.92912,0.48995,0.91868,0.84031,0.71856,0.80103,0.53918,1.00016,0.59882,0.96871,0.000707498,0.000707498,0.000707498
53,856.836,0.90772,0.48383,0.9174,0.90035,0.7245,0.81639,0.53682,1.023,0.62127,0.98391,0.000693351,0.000693351,0.000693351
54,871.623,0.92693,0.49113,0.90146,0.88028,0.73938,0.81182,0.54659,0.99339,0.56918,0.96101,0.000679204,0.000679204,0.000679204
55,886.498,0.91293,0.47742,0.91099,0.89469,0.74986,0.83056,0.5607,1.00759,0.55032,0.97,0.000665057,0.000665057,0.000665057
56,901.492,0.90319,0.46986,0.90469,0.85208,0.72877,0.7992,0.53282,1.02604,0.57506,0.97455,0.000650909,0.000650909,0.000650909
57,916.273,0.93503,0.4955,0.90952,0.85186,0.78024,0.80891,0.55436,1.00168,0.61611,0.96832,0.000636762,0.000636762,0.000636762
58,931.114,0.89925,0.48804,0.909,0.84734,0.73419,0.80618,0.54103,0.97748,0.61594,0.95696,0.000622615,0.000622615,0.000622615
59,945.884,0.91326,0.48727,0.90917,0.8294,0.6903,0.76529,0.52835,0.98855,0.60387,0.95424,0.000608468,0.000608468,0.000608468
60,960.699,0.86042,0.46117,0.9015,0.88721,0.73162,0.81365,0.55377,0.97056,0.62986,0.94789,0.000594321,0.000594321,0.000594321
61,975.479,0.88454,0.47114,0.9046,0.91941,0.75863,0.82748,0.56469,0.97465,0.59293,0.95597,0.000580174,0.000580174,0.000580174
62,990.398,0.88872,0.46466,0.90314,0.85,0.7974,0.81536,0.55272,0.97504,0.56324,0.95968,0.000566027,0.000566027,0.000566027
63,1005.19,0.86641,0.46006,0.89716,0.88071,0.77086,0.83997,0.56904,1.0131,0.52932,0.97399,0.00055188,0.00055188,0.00055188
64,1020.1,0.89056,0.46511,0.89959,0.84122,0.77348,0.82036,0.55434,0.99742,0.57939,0.97222,0.000537733,0.000537733,0.000537733
65,1034.95,0.86415,0.44938,0.90541,0.87055,0.75526,0.81622,0.56221,0.99133,0.57436,0.96839,0.000523586,0.000523586,0.000523586
66,1049.79,0.86975,0.44821,0.89115,0.86021,0.72291,0.7915,0.55543,0.97573,0.54698,0.96297,0.000509438,0.000509438,0.000509438
67,1064.78,0.83736,0.42853,0.89367,0.80078,0.79731,0.81611,0.56208,0.98754,0.55714,0.96517,0.000495291,0.000495291,0.000495291
68,1079.73,0.87167,0.452,0.89318,0.8837,0.71214,0.80975,0.55277,0.98889,0.55627,0.95761,0.000481144,0.000481144,0.000481144
