epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,633.196,0.98277,0.55537,0.93952,0.8165,0.77139,0.84517,0.58677,1.02226,0.58843,0.96899,0.00113898,0.00113898,0.00113898
43,652.371,1.00157,0.5624,0.94034,0.80407,0.84356,0.86743,0.57808,1.03919,0.54508,0.9735,0.00113191,0.00113191,0.00113191
44,668.486,1.00239,0.55968,0.93599,0.87038,0.78238,0.83571,0.56812,1.02181,0.54634,0.96669,0.00112484,0.00112484,0.00112484
45,684.535,0.99968,0.54264,0.93135,0.92549,0.66931,0.80331,0.55208,1.01547,0.59085,0.97462,0.00111776,0.00111776,0.00111776
46,700.652,0.95757,0.53071,0.92431,0.85913,0.76598,0.84413,0.58638,0.99249,0.54251,0.9574,0.00111069,0.00111069,0.00111069
47,717.746,0.97031,0.5442,0.93199,0.85887,0.80466,0.88154,0.59909,1.01296,0.52012,0.96694,0.00110362,0.00110362,0.00110362
48,736.849,0.98887,0.55234,0.94305,0.89381,0.73285,0.8237,0.5546,1.02454,0.58045,0.97611,0.00109654,0.00109654,0.00109654
49,754.602,0.96804,0.54406,0.9313,0.93817,0.72429,0.83535,0.55995,0.99324,0.55212,0.95859,0.00108947,0.00108947,0.00108947
50,773.101,0.96181,0.52477,0.92319,0.86562,0.7549,0.85838,0.58347,1.02352,0.56328,0.96324,0.0010824,0.0010824,0.0010824
51,790.993,0.95647,0.524,0.92228,0.87319,0.76911,0.83411,0.54105,1.03236,0.57673,0.95979,0.00107532,0.00107532,0.00107532
52,808.712,0.94219,0.53583,0.92018,0.88328,0.77125,0.83878,0.58698,0.99736,0.52342,0.9476,0.00106825,0.00106825,0.00106825
53,826.485,0.95183,0.52506,0.92463,0.80676,0.78929,0.80486,0.54561,0.98742,0.55006,0.94826,0.00106118,0.00106118,0.00106118
54,844.378,0.94856,0.51727,0.9204,0.86576,0.72363,0.81392,0.56008,1.01573,0.55305,0.95709,0.0010541,0.0010541,0.0010541
55,861.993,0.95217,0.51627,0.92509,0.83651,0.74068,0.78786,0.53377,1.02639,0.56971,0.9708,0.00104703,0.00104703,0.00104703
56,880.176,0.93744,0.50274,0.91871,0.90085,0.7377,0.85322,0.57067,1.00987,0.55098,0.95833,0.00103995,0.00103995,0.00103995
57,898.388,0.94992,0.52087,0.92234,0.84162,0.70584,0.79322,0.54541,0.98485,0.54485,0.95375,0.00103288,0.00103288,0.00103288
58,916.533,0.94456,0.51326,0.91834,0.87934,0.75609,0.83305,0.57493,1.00583,0.55432,0.9636,0.00102581,0.00102581,0.00102581
59,934.882,0.92866,0.50416,0.92008,0.85388,0.80634,0.84392,0.58508,0.99746,0.53258,0.96559,0.00101873,0.00101873,0.00101873
60,953.487,0.93553,0.50618,0.91649,0.8978,0.7453,0.85122,0.58151,1.01846,0.57029,0.96884,0.00101166,0.00101166,0.00101166
61,971.089,0.93899,0.51381,0.92019,0.82959,0.70437,0.79218,0.52997,0.99558,0.55858,0.95331,0.00100459,0.00100459,0.00100459
62,989.011,0.93119,0.50626,0.91821,0.86949,0.77931,0.86964,0.59862,0.98275,0.52105,0.94753,0.000997513,0.000997513,0.000997513
63,1007.02,0.93331,0.49851,0.92456,0.84666,0.79351,0.84791,0.58583,1.00513,0.52859,0.96285,0.00099044,0.00099044,0.00099044
64,1025.13,0.92031,0.48809,0.91463,0.84187,0.81141,0.85425,0.58348,1.01612,0.52257,0.96129,0.000983366,0.000983366,0.000983366
65,1042.99,0.92011,0.49471,0.91311,0.88257,0.73154,0.83333,0.57202,1.00554,0.54607,0.95561,0.000976293,0.000976293,0.000976293
66,1060.94,0.90776,0.49255,0.91343,0.91383,0.75516,0.83413,0.56254,1.00821,0.55019,0.96059,0.000969219,0.000969219,0.000969219
67,1079.42,0.92517,0.49486,0.91646,0.87806,0.76141,0.8725,0.60258,1.00771,0.52565,0.96534,0.000962146,0.000962146,0.000962146
68,1097.91,0.90548,0.48805,0.91406,0.87797,0.76829,0.84016,0.57067,1.00974,0.53418,0.95882,0.000955072,0.000955072,0.000955072
69,1116.38,0.88214,0.47048,0.90559,0.88203,0.76935,0.8498,0.58837,0.98218,0.53993,0.94615,0.000947999,0.000947999,0.000947999
70,1135.01,0.91511,0.482,0.90398,0.86322,0.77687,0.84998,0.58264,1.00518,0.51815,0.94478,0.000940925,0.000940925,0.000940925
71,1153.17,0.88412,0.48284,0.90522,0.85757,0.78604,0.86102,0.59834,0.99163,0.50336,0.95511,0.000933851,0.000933851,0.000933851
72,1170.87,0.89045,0.47379,0.90105,0.87007,0.81198,0.86526,0.60168,0.99365,0.51824,0.95991,0.000926778,0.000926778,0.000926778
73,1188.23,0.89986,0.49053,0.90268,0.8357,0.77518,0.81298,0.57138,0.97082,0.53378,0.94517,0.000919704,0.000919704,0.000919704
74,1206.73,0.89079,0.47454,0.9062,0.89615,0.77626,0.85116,0.59844,0.97967,0.5039,0.95474,0.000912631,0.000912631,0.000912631
75,1225.11,0.88255,0.46698,0.90223,0.88112,0.77573,0.8456,0.5911,0.99106,0.51478,0.94856,0.000905557,0.000905557,0.000905557
76,1242.91,0.87011,0.45936,0.89586,0.85627,0.75245,0.82542,0.56507,0.99074,0.57208,0.94724,0.000898484,0.000898484,0.000898484
77,1260.78,0.87314,0.47406,0.89838,0.90804,0.72697,0.84302,0.58051,1.01053,0.542,0.96761,0.00089141,0.00089141,0.00089141
78,1278.31,0.87301,0.46601,0.90192,0.86444,0.76242,0.84192,0.58755,0.96798,0.5266,0.95298,0.000884337,0.000884337,0.000884337
79,1295.55,0.86827,0.45983,0.89192,0.93979,0.7551,0.86947,0.60455,0.95805,0.5214,0.94078,0.000877263,0.000877263,0.000877263
80,1313.51,0.88456,0.46225,0.89747,0.8961,0.76094,0.86539,0.59648,0.97677,0.49262,0.94232,0.00087019,0.00087019,0.00087019
81,1330.73,0.86583,0.45404,0.89287,0.8611,0.7497,0.83181,0.56448,1.03324,0.5125,0.96926,0.000863116,0.000863116,0.000863116
82,1347.93,0.85075,0.44594,0.91003,0.84157,0.7939,0.85758,0.57995,0.99233,0.50208,0.95373,0.000856042,0.000856042,0.000856042
83,1364.89,0.84745,0.44116,0.89489,0.83606,0.8252,0.86411,0.59886,0.98296,0.51685,0.94682,0.000848969,0.000848969,0.000848969
84,1382.24,0.84395,0.43807,0.89525,0.87309,0.78595,0.87082,0.60213,0.99763,0.54228,0.9634,0.000841895,0.000841895,0.000841895
