epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.0828,1.71813,2.00516,1.27881,0.4661,0.50055,0.43445,0.25111,1.23205,2.27049,1.13226,0.000463798,0.000463798,0.000463798
2,32.7673,1.30725,0.94927,1.03596,0.73962,0.37635,0.33794,0.17362,1.60327,2.11929,1.43151,0.00093827,0.00093827,0.00093827
3,47.1211,1.27943,0.93705,1.05229,0.51782,0.36188,0.39331,0.21194,1.6611,2.67472,1.46773,0.00141086,0.00141086,0.00141086
4,61.5531,1.27817,0.90452,1.04183,0.23619,0.47003,0.25677,0.17105,1.31337,inf,1.20268,0.00142051,0.00142051,0.00142051
5,75.852,1.28541,0.8864,1.03316,0.65394,0.44283,0.48598,0.29517,1.29462,1.61092,1.11526,0.00141768,0.00141768,0.00141768
6,90.3607,1.23328,0.83927,1.02753,0.56077,0.50799,0.51075,0.31347,1.23398,1.20749,1.08076,0.00141485,0.00141485,0.00141485
7,104.978,1.2316,0.84217,1.01718,0.75816,0.54524,0.61342,0.37719,1.16576,1.04164,1.04962,0.00141202,0.00141202,0.00141202
8,119.414,1.22273,0.83409,1.0271,0.53005,0.5499,0.58031,0.36702,1.18059,0.92191,1.02691,0.00140919,0.00140919,0.00140919
9,133.752,1.24116,0.79414,1.00597,0.79579,0.54904,0.62166,0.41999,1.11251,1.30163,1.01787,0.00140636,0.00140636,0.00140636
10,148.1,1.17495,0.7748,0.99775,0.79196,0.5642,0.68237,0.45117,1.14004,0.77678,1.02615,0.00140354,0.00140354,0.00140354
11,162.634,1.17903,0.77107,0.99869,0.68491,0.64299,0.6488,0.40368,1.16628,0.85312,1.03595,0.00140071,0.00140071,0.00140071
12,176.835,1.16222,0.74337,0.99875,0.71888,0.68739,0.68988,0.44439,1.13199,0.68917,1.01289,0.00139788,0.00139788,0.00139788
13,191.132,1.14241,0.72944,0.99221,0.64657,0.61105,0.63502,0.41312,1.10868,0.78293,1.02004,0.00139505,0.00139505,0.00139505
14,205.38,1.13371,0.70818,0.97558,0.82785,0.65144,0.73696,0.48688,1.12929,0.74785,1.02776,0.00139222,0.00139222,0.00139222
15,219.828,1.12862,0.72227,0.99301,0.73775,0.6624,0.70108,0.45077,1.11363,0.7309,0.99668,0.00138939,0.00138939,0.00138939
16,234.262,1.11875,0.68696,0.97833,0.78204,0.64196,0.68317,0.42082,1.17509,0.79111,1.01734,0.00138656,0.00138656,0.00138656
17,248.584,1.10843,0.66964,0.96476,0.75828,0.74335,0.77572,0.51913,1.10609,0.68876,0.99702,0.00138373,0.00138373,0.00138373
18,262.924,1.1153,0.66776,0.97005,0.71038,0.58909,0.61048,0.39201,1.10464,0.77582,0.99883,0.0013809,0.0013809,0.0013809
19,277.209,1.13881,0.68828,0.98189,0.70357,0.66295,0.70147,0.47136,1.09405,0.7231,0.99364,0.00137807,0.00137807,0.00137807
20,291.495,1.11842,0.67995,0.9792,0.76001,0.68183,0.71655,0.46922,1.08649,0.68937,0.99587,0.00137524,0.00137524,0.00137524
21,305.934,1.11307,0.69222,0.97016,0.78979,0.68776,0.75955,0.48689,1.09795,0.67484,0.99612,0.00137241,0.00137241,0.00137241
